[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.055410 ] THIS CLASS DOES NOT YET SUPPORT RETURN THE DEVICE NAME.
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211077 ] 
   Agent: GenericAgent
   ActionWrapper: GymWrapper
   StateBuilder: PureState
   RewardBuilder: PureReward
   Environment: GymEnv
   Model: DoubleDeepQLearning
       Layer 0: {'type': 'input', 'nodes': 25, 'shape': 4}
       Layer 1: {'type': 'fullyconn', 'nodes': 25, 'name': 'default0'}
       Layer 2: {'type': 'output', 'length': 2}

[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211140 ] WARNING! Starting new training on /app/urnai/models/saved/cartpole-v1_ddql_25x25_json with SAVING ENABLED.
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211472 ] > Training
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.211532 ] 
   Agent: GenericAgent
   ActionWrapper: GymWrapper
   StateBuilder: PureState
   RewardBuilder: PureReward
   Environment: GymEnv
   Model: DoubleDeepQLearning
       Layer 0: {'type': 'input', 'nodes': 25, 'shape': 4}
       Layer 1: {'type': 'fullyconn', 'nodes': 25, 'name': 'default0'}
       Layer 2: {'type': 'output', 'length': 2}

[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.349051 ] Episode: 12/1000 | Outcome: 1 | Episode Avg. Reward:  18.583333 | Episode Reward:  14.000000 | Episode Steps:  14.000000 | Best Reward was 26.0 on episode: 8 |Episode Duration (seconds): 0.0 | Episode SPS: 22000.85 | SPS AVG: 17384.76 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.9352793380802522}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.362770 ] Episode: 13/1000 | Outcome: 1 | Episode Avg. Reward:  19.923077 | Episode Reward:  36.000000 | Episode Steps:  36.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 8890.42 | SPS AVG: 16731.35 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.9252311717097}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.374464 ] Episode: 14/1000 | Outcome: 1 | Episode Avg. Reward:  19.857143 | Episode Reward:  19.000000 | Episode Steps:  19.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 7484.9 | SPS AVG: 16070.89 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.919971569160887}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.384853 ] Episode: 15/1000 | Outcome: 1 | Episode Avg. Reward:  19.466667 | Episode Reward:  14.000000 | Episode Steps:  14.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 20027.37 | SPS AVG: 16334.66 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.9161152141035371}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.401456 ] Episode: 16/1000 | Outcome: 1 | Episode Avg. Reward:  19.625000 | Episode Reward:  22.000000 | Episode Steps:  22.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 3540.45 | SPS AVG: 15535.02 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.9100878616879078}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.415391 ] Episode: 17/1000 | Outcome: 1 | Episode Avg. Reward:  19.470588 | Episode Reward:  17.000000 | Episode Steps:  17.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 3962.39 | SPS AVG: 14854.27 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.9054575363770448}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.424768 ] Episode: 18/1000 | Outcome: 1 | Episode Avg. Reward:  19.055556 | Episode Reward:  12.000000 | Episode Steps:  12.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 21015.3 | SPS AVG: 15196.55 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.902203262289065}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.438652 ] Episode: 19/1000 | Outcome: 1 | Episode Avg. Reward:  19.368421 | Episode Reward:  25.000000 | Episode Steps:  25.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 5548.9 | SPS AVG: 14688.78 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8954610413754847}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.447964 ] Episode: 20/1000 | Outcome: 1 | Episode Avg. Reward:  18.850000 | Episode Reward:   9.000000 | Episode Steps:   9.000000 | Best Reward was 36.0 on episode: 13 |Episode Duration (seconds): 0.0 | Episode SPS: 18396.07 | SPS AVG: 14874.15 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8930461958275532}
[ (THREAD MainProcess) URNAI REPORT AT 2022-04-17 19:11:17.466535 ] Episode: 21/1000 | Outcome: 1 | Episode Avg. Reward:  20.380952 | Episode Reward:  51.000000 | Episode Steps:  51.000000 | Best Reward was 51.0 on episode: 21 |Episode Duration (seconds): 0.0 | Episode SPS: 5634.54 | SPS AVG: 14434.17 | Agent info: {'Learning rate': 0.001, 'Gamma': 0.99, 'Epsilon': 0.8794845657474236}
